post_weekday,post_hour,like_count_1h_q1_in_weekday_hour,like_count_1h_q2_in_weekday_hour,like_count_1h_q3_in_weekday_hour,like_count_1h_mean_in_weekday_hour,like_count_1h_std_in_weekday_hour,like_count_2h_q1_in_weekday_hour,like_count_2h_q2_in_weekday_hour,like_count_2h_q3_in_weekday_hour,like_count_2h_mean_in_weekday_hour,like_count_2h_std_in_weekday_hour,like_count_3h_q1_in_weekday_hour,like_count_3h_q2_in_weekday_hour,like_count_3h_q3_in_weekday_hour,like_count_3h_mean_in_weekday_hour,like_count_3h_std_in_weekday_hour,like_count_4h_q1_in_weekday_hour,like_count_4h_q2_in_weekday_hour,like_count_4h_q3_in_weekday_hour,like_count_4h_mean_in_weekday_hour,like_count_4h_std_in_weekday_hour,like_count_5h_q1_in_weekday_hour,like_count_5h_q2_in_weekday_hour,like_count_5h_q3_in_weekday_hour,like_count_5h_mean_in_weekday_hour,like_count_5h_std_in_weekday_hour,like_count_6h_q1_in_weekday_hour,like_count_6h_q2_in_weekday_hour,like_count_6h_q3_in_weekday_hour,like_count_6h_mean_in_weekday_hour,like_count_6h_std_in_weekday_hour
Saturday,11,3.0,6.0,12.0,11.381578947368421,17.488256711491214,6.75,10.5,23.75,23.526315789473685,36.72981484088388,12.75,19.0,35.0,38.96052631578947,57.865232114969494,17.75,27.0,46.0,55.31578947368421,79.32855064457198,22.75,32.0,58.25,72.61842105263158,102.11065463248038,26.75,37.5,65.0,86.65789473684211,124.48973747599479
Thursday,13,2.0,6.0,14.0,13.243589743589743,21.594363079667733,5.25,12.0,28.0,27.166666666666668,41.607134960889574,11.5,20.5,47.75,48.23076923076923,71.37206756128077,17.0,29.5,62.0,66.24358974358974,101.80171532979809,20.0,34.5,68.5,78.21794871794872,123.56181979083713,20.0,36.0,78.0,84.73076923076923,135.5199389246979
Friday,8,2.0,6.0,12.5,11.164556962025317,16.010757905591394,6.0,12.0,24.0,19.949367088607595,28.458651397033506,11.0,18.0,31.5,32.21518987341772,58.22693686401552,18.0,27.0,43.5,46.30379746835443,91.7107149781562,22.0,34.0,50.5,60.74683544303797,126.75743728288238,28.0,40.0,64.5,76.0253164556962,164.2216275056477
Tuesday,14,2.0,6.0,12.0,13.733333333333333,38.49862522407968,4.0,9.0,18.5,21.226666666666667,48.8247205146464,6.0,17.0,27.0,27.893333333333334,54.65779866546909,8.0,19.0,33.5,32.84,58.43754809219007,9.0,20.0,35.0,35.54666666666667,60.12336266992008,10.0,22.0,36.0,37.0,60.64852218515504
Wednesday,12,2.0,6.0,11.0,10.223529411764705,15.208375254153495,4.0,11.0,19.0,18.658823529411766,26.384317555797306,10.0,19.0,34.0,31.31764705882353,47.04157527040914,16.0,26.0,48.0,47.62352941176471,79.23097285041709,22.0,31.0,71.0,61.4,108.63736093295064,24.0,35.0,73.0,69.25882352941177,129.41067455614174
Friday,13,2.0,5.0,15.75,11.0,16.16071877017948,5.0,12.0,24.0,19.294871794871796,23.23907869419049,11.0,22.0,38.5,31.576923076923077,33.0464133389001,15.0,30.0,49.5,43.12820512820513,43.882179613661954,20.0,33.0,64.25,51.02564102564103,53.05864786460462,22.0,35.0,70.5,55.205128205128204,59.19862208258615
Sunday,13,2.0,5.0,15.0,9.35897435897436,9.911261283666182,5.0,12.0,25.75,17.141025641025642,15.343448501605236,10.0,22.0,36.75,28.82051282051282,26.708500320010284,18.25,29.5,47.5,40.282051282051285,41.074495969083046,20.0,33.0,55.75,47.23076923076923,50.07161704166177,21.5,35.0,59.5,51.02564102564103,55.38624104988258
Friday,15,2.0,5.0,13.5,12.44047619047619,18.48304412840153,5.0,13.0,24.25,22.44047619047619,31.51566877100602,6.0,17.5,33.25,29.833333333333332,42.162003488361535,8.0,21.0,39.5,34.38095238095238,48.63755917948045,8.0,22.5,41.25,37.05952380952381,52.27875958154486,9.75,23.0,43.25,38.333333333333336,53.13073970883553
Sunday,9,2.0,5.0,11.75,10.136363636363637,14.472133821336001,4.25,11.5,21.75,18.984848484848484,24.732720416635512,7.25,18.0,30.75,29.545454545454547,35.74274829869768,14.5,25.0,41.75,41.90909090909091,51.70827259293675,20.25,35.0,56.0,54.93939393939394,71.65255458173546,24.25,40.5,71.25,68.86363636363636,96.28529504528737
Saturday,15,2.0,5.0,11.0,9.473684210526315,14.512958516866249,4.0,10.0,19.25,20.960526315789473,37.69719380872576,7.0,13.0,24.25,30.789473684210527,57.94533418995843,9.0,16.5,27.25,37.6578947368421,72.57778404472064,9.0,18.0,29.0,40.94736842105263,79.27250801075861,10.0,18.5,31.25,43.01315789473684,83.7723094140385
